"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Aristides Aquino","CIN","107","462","409","91","16","1","25","59","71","44","143","5","7","2","",".224",".304",".456",".760",".323","","-0.1","-0.1","","0.4","","590.0","15482"
"Nick Gordon","MIN","45","196","181","46","9","1","4","21","20","11","44","2","8","2","",".254",".302",".381",".682",".296","","-0.8","0.5","","0.4","","549.9","16337"
"Yadiel Hernandez","WSN","99","427","387","102","16","1","16","51","56","34","97","2","3","2","",".263",".323",".433",".756",".324","","-0.9","-0.9","","0.4","","579.8","19334"
"Matt Beaty","LAD","79","343","308","79","16","1","9","43","47","24","61","9","3","1","",".257",".327",".407",".734",".320","","-1.2","-0.2","","0.4","","581.9","17710"
"Seth Brown","OAK","126","546","499","114","26","3","24","65","75","37","161","3","6","2","",".229",".285",".436",".721",".305","","0.3","-0.4","","0.4","","487.6","18171"
"Tim Locastro","","40","175","154","37","9","1","3","22","15","10","35","9","7","2","",".243",".325",".374",".699",".309","","-0.7","0.5","","0.4","","594.6","15124"
"Zach McKinstry","LAD","47","203","184","44","9","1","7","23","26","15","48","2","3","2","",".239",".300",".408",".709",".305","","-0.5","-0.4","","0.4","","592.5","19392"
"Danny Santana","","53","231","211","51","11","2","9","29","28","14","65","2","7","3","",".239",".293",".431",".724",".308","","-0.7","0.2","","0.4","","999.0","10322"
"Mauricio Dubón","SFG","29","126","116","30","5","0","3","14","13","7","22","1","2","1","",".263",".311",".394",".706",".305","","0.3","-0.1","","0.4","","584.6","16530"
"Jon Berti","MIA","31","133","115","28","5","0","2","16","11","14","30","2","5","2","",".239",".329",".347",".677",".302","","-0.1","0.3","","0.4","","582.7","12037"
"Greg Allen","PIT","42","182","162","41","8","1","3","21","16","12","38","6","8","2","",".252",".325",".369",".694",".305","","0.8","0.5","","0.4","","600.2","16623"
"Clint Frazier","CHC","92","399","349","82","20","1","14","46","46","41","111","5","4","2","",".234",".322",".422",".744",".323","","-1.3","-0.7","","0.4","","437.3","15983"
"Jorge Mateo","BAL","84","364","341","81","17","4","8","38","34","16","98","4","13","6","",".237",".277",".382",".659",".283","","-0.7","0.0","","0.3","","459.6","17273"
"Garrett Stubbs","PHI","32","128","113","25","5","0","2","14","11","12","27","1","3","1","",".223",".301",".337",".638",".283","","1.1","0.1","","0.3","","999.0","18067"
