"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"312","Jesse Chavez",NA,"pitcher",-1.49,-3.32,-5.06530515802237,""
"313","Austin Voth","WSN","pitcher",-1.49,-3.32,-5.06530515802237,""
"314","Archie Bradley",NA,"pitcher",-1.49,-3.33,-5.08056210126943,""
"315","Dom Nuñez","COL","catcher",-3.93688381167349,-3.33206295151602,-5.08370953468956,""
"316","Scott Effross","CHC","pitcher",-1.53,-3.39,-5.17210376075176,""
"317","Jakob Junis",NA,"pitcher",-1.53,-3.4,-5.18736070399881,""
"318","Jake McCarthy","ARI","of",-1.00640762765445,-3.40814981813536,-5.19979483527531,""
"319","Adam Morgan",NA,"pitcher",-1.54,-3.41,-5.20261764724587,""
"320","Jacob Webb","ATL","pitcher",-1.54,-3.41,-5.20261764724587,""
"321","Kervin Castro","SFG","pitcher",-1.54,-3.42,-5.21787459049292,""
